timestamp,latitude,longtitude,depth_km,MD,ML,Mw,place,location
2022.12.25 17:06:35,40.6620,27.3853,3.4,,0.9,,GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),MARMARA DENIZI
2022.12.25 16:37:03,38.0253,42.0313,5.0,,2.6,,DAMLI-SIRVAN (SIIRT),SIIRT
2022.12.25 16:07:29,37.1047,28.4290,3.4,,1.7,,ULA (MUGLA),MUGLA
2022.12.25 15:16:57,37.3582,29.5087,6.7,,2.0,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.25 14:04:17,40.8295,31.6842,9.1,,1.4,,GOLCUK-(BOLU),BOLU
2022.12.25 13:14:29,37.0763,27.9637,0.0,,2.0,,PINARKOY-MILAS (MUGLA),MUGLA
2022.12.25 13:03:32,36.9413,27.6272,4.2,,1.8,,GOKOVA KORFEZI (AKDENIZ),AKDENIZ
2022.12.25 12:06:08,35.8420,30.9385,4.9,,3.1,3.2,AKDENIZ,AKDENIZ
2022.12.25 11:55:14,37.3437,29.5235,7.1,,3.4,3.4,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.25 11:43:11,37.3350,29.5160,7.1,,2.7,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.25 11:41:03,38.7217,31.2870,6.8,,1.7,,ORTAKARABAG-BOLVADIN (AFYONKARAHISAR),AFYONKARAHISAR
2022.12.25 10:53:47,38.5383,43.0388,14.4,,1.5,,VAN GOLU,VAN GOLU
2022.12.25 09:31:32,40.6968,27.4392,13.1,,1.2,,GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),MARMARA DENIZI
2022.12.25 08:52:58,37.9717,27.1465,2.7,,1.9,,KUSADASI KORFEZI (EGE DENIZI),EGE DENIZI
2022.12.25 07:57:34,40.7943,30.9800,5.3,,2.5,,YAZLIK-GOLYAKA (DUZCE),DUZCE
2022.12.25 07:42:11,40.7433,30.8328,11.7,,1.4,,KARADERE-HENDEK (SAKARYA),SAKARYA
2022.12.25 07:35:47,41.1002,32.1962,7.1,,2.2,,HISARKOY-YENICE (KARABUK),KARABUK
2022.12.25 06:30:56,37.3447,29.4663,3.5,,0.8,,BEDIRBEY-ACIPAYAM (DENIZLI),DENIZLI
2022.12.25 06:28:52,39.0932,27.3068,15.7,,1.9,,YAYAKENT-KINIK (IZMIR),IZMIR
2022.12.25 06:18:44,40.1013,32.7562,5.0,,2.2,,GUVENC-KAZAN (ANKARA),ANKARA
2022.12.25 05:56:50,36.1017,28.1090,5.2,,2.8,,RODOS ADASI (AKDENIZ),AKDENIZ
2022.12.25 05:38:30,38.3715,27.3032,8.0,,2.2,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.25 05:38:21,37.0552,28.4572,3.6,,2.3,,ELMALI-ULA (MUGLA),MUGLA
2022.12.25 05:13:34,38.3368,27.1560,7.3,,1.9,,GAZIEMIR (IZMIR),IZMIR
2022.12.25 05:11:50,38.8252,32.9047,5.3,,0.7,,DAMLAKUYU-CIHANBEYLI (KONYA),KONYA
2022.12.25 05:05:36,40.0398,27.8015,2.3,,0.6,,OMERLER-GONEN (BALIKESIR),BALIKESIR
2022.12.25 04:20:34,40.8353,31.7113,11.8,,1.8,,YESILCELE-(BOLU),BOLU
2022.12.25 03:43:08,37.0855,28.4303,11.6,,1.8,,YESILOVA-ULA (MUGLA),MUGLA
2022.12.25 03:39:59,37.4253,37.1332,12.7,,1.2,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.25 03:28:02,37.2693,37.2265,12.2,,0.8,,KOKSALAN-SEHITKAMIL (GAZIANTEP),GAZIANTEP
2022.12.25 03:25:50,38.3535,27.2250,3.7,,1.1,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.25 03:08:38,37.0403,28.0492,5.0,,1.2,,KULTAK-MILAS (MUGLA),MUGLA
2022.12.25 03:03:53,39.6733,34.2995,5.0,,0.8,,TEPECIK-CICEKDAGI (KIRSEHIR),KIRSEHIR
2022.12.25 03:03:22,36.5823,29.1662,29.4,,1.1,,OLUDENIZ-FETHIYE (MUGLA),MUGLA
2022.12.25 02:39:16,40.1847,31.7185,4.0,,2.8,,SEKLI-BEYPAZARI (ANKARA),ANKARA
2022.12.25 02:29:34,38.3528,27.2187,6.9,,2.5,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.25 02:12:03,40.7158,36.6145,6.3,,1.2,,CATILI-ERBAA (TOKAT),TOKAT
2022.12.25 00:05:35,39.1112,29.1270,6.0,,1.5,,SENKOY-SIMAV (KUTAHYA),KUTAHYA
2022.12.24 22:53:21,35.0138,32.5175,24.7,,2.0,,KIBRIS RUM KESIMI,KIBRIS RUM KESIMI
2022.12.24 22:23:17,37.0615,28.3253,14.9,,0.6,,AKYAKA-ULA (MUGLA),MUGLA
